game_id,move_num,ai_name,col_chosen,score,nodes_evaluated,time_ms
3,3,"Minimax(depth=5, heuristic=balanced_heuristic)",2,16,1480,515.31
3,4,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,66,981,288.43
3,5,"Minimax(depth=5, heuristic=balanced_heuristic)",2,18,784,328.22
3,6,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,90,751,322.73
3,7,"Minimax(depth=5, heuristic=balanced_heuristic)",3,22,241,83.42
3,8,"Minimax(depth=5, heuristic=aggressive_heuristic)",2,96,384,205.34
3,9,"Minimax(depth=5, heuristic=balanced_heuristic)",0,19,1516,888.85
3,10,"Minimax(depth=5, heuristic=aggressive_heuristic)",2,122,580,380.51
3,11,"Minimax(depth=5, heuristic=balanced_heuristic)",5,16,1251,776.37
3,12,"Minimax(depth=5, heuristic=aggressive_heuristic)",2,152,354,227.85
3,13,"Minimax(depth=5, heuristic=balanced_heuristic)",2,11,267,206.96
3,14,"Minimax(depth=5, heuristic=aggressive_heuristic)",5,156,975,677.86
3,15,"Minimax(depth=5, heuristic=balanced_heuristic)",0,9,957,604.88
3,16,"Minimax(depth=5, heuristic=aggressive_heuristic)",5,172,762,467.92
3,17,"Minimax(depth=5, heuristic=balanced_heuristic)",5,10,759,445.84
3,18,"Minimax(depth=5, heuristic=aggressive_heuristic)",5,176,671,375.15
3,19,"Minimax(depth=5, heuristic=balanced_heuristic)",5,8,634,372.02
3,20,"Minimax(depth=5, heuristic=aggressive_heuristic)",4,184,289,168.8
3,21,"Minimax(depth=5, heuristic=balanced_heuristic)",0,5,173,97.53
3,22,"Minimax(depth=5, heuristic=aggressive_heuristic)",0,186,140,73.2
3,23,"Minimax(depth=5, heuristic=balanced_heuristic)",6,0,191,99.56
3,24,"Minimax(depth=5, heuristic=aggressive_heuristic)",6,190,174,86.5
3,25,"Minimax(depth=5, heuristic=balanced_heuristic)",0,-13,176,94.2
3,26,"Minimax(depth=5, heuristic=aggressive_heuristic)",0,204,128,60.79
3,27,"Minimax(depth=5, heuristic=balanced_heuristic)",1,-39,51,20.02
3,28,"Minimax(depth=5, heuristic=aggressive_heuristic)",1,10000000,36,15.69
3,29,"Minimax(depth=5, heuristic=balanced_heuristic)",4,-10000000,33,14.76
3,30,"Minimax(depth=5, heuristic=aggressive_heuristic)",4,10000000,6,2.92
4,0,"Minimax(depth=5, heuristic=balanced_heuristic)",3,17,657,398.48
4,1,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,24,655,415.18
4,2,"Minimax(depth=5, heuristic=balanced_heuristic)",3,21,1626,976.7
4,3,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,36,1046,648.08
4,4,"Minimax(depth=5, heuristic=balanced_heuristic)",2,28,2916,1778.01
4,5,"Minimax(depth=5, heuristic=aggressive_heuristic)",4,36,2569,1608.53
4,6,"Minimax(depth=5, heuristic=balanced_heuristic)",4,32,3374,2015.52
4,7,"Minimax(depth=5, heuristic=aggressive_heuristic)",4,60,2051,1499.82
4,8,"Minimax(depth=5, heuristic=balanced_heuristic)",2,34,3106,2175.24
4,9,"Minimax(depth=5, heuristic=aggressive_heuristic)",4,78,2114,1615.75
4,10,"Minimax(depth=5, heuristic=balanced_heuristic)",4,32,2529,1255.78
4,11,"Minimax(depth=5, heuristic=aggressive_heuristic)",0,92,1680,712.59
4,12,"Minimax(depth=5, heuristic=balanced_heuristic)",3,29,1095,326.39
4,13,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,84,933,227.24
4,14,"Minimax(depth=5, heuristic=balanced_heuristic)",5,39,926,242.71
4,15,"Minimax(depth=5, heuristic=aggressive_heuristic)",5,108,948,247.25
4,16,"Minimax(depth=5, heuristic=balanced_heuristic)",6,33,1622,367.79
4,17,"Minimax(depth=5, heuristic=aggressive_heuristic)",4,104,453,110.09
4,18,"Minimax(depth=5, heuristic=balanced_heuristic)",0,36,701,172.69
4,19,"Minimax(depth=5, heuristic=aggressive_heuristic)",0,104,422,103.31
4,20,"Minimax(depth=5, heuristic=balanced_heuristic)",0,38,734,171.82
4,21,"Minimax(depth=5, heuristic=aggressive_heuristic)",0,94,358,78.66
4,22,"Minimax(depth=5, heuristic=balanced_heuristic)",0,41,658,153.53
4,23,"Minimax(depth=5, heuristic=aggressive_heuristic)",6,88,239,81.64
4,24,"Minimax(depth=5, heuristic=balanced_heuristic)",1,41,375,122.86
4,25,"Minimax(depth=5, heuristic=aggressive_heuristic)",6,100,226,79.09
4,26,"Minimax(depth=5, heuristic=balanced_heuristic)",6,42,297,120.21
4,27,"Minimax(depth=5, heuristic=aggressive_heuristic)",5,78,151,54.88
4,28,"Minimax(depth=5, heuristic=balanced_heuristic)",5,41,281,72.27
4,29,"Minimax(depth=5, heuristic=aggressive_heuristic)",5,64,120,27.56
4,30,"Minimax(depth=5, heuristic=balanced_heuristic)",5,10000000,168,35.19
4,31,"Minimax(depth=5, heuristic=aggressive_heuristic)",2,-10000000,62,14.29
4,32,"Minimax(depth=5, heuristic=balanced_heuristic)",2,10000000,21,5.6
5,0,"Minimax(depth=5, heuristic=balanced_heuristic)",3,17,657,175.02
